Name,lat,long,depth,semiMajorAxisLength,semiMinorAxisLength,semiIntermediateAxisLength,majorAxisPlunge,majorAxisAzimuth,majorAxisRotation,scatter_volume
tirprb,-12.863428,45.292584,40.447266,31.474,6.13173,6.58341,26.7602,164.988,290.091,154.1036
tirqwa,-12.800564,45.306404,37.739258,4.05664,3.12013,3.54594,-4.19805,51.6873,106.342,47.79507
tirrps,-12.872745,45.356661,28.750977,4.5874,2.11511,3.52493,-12.5281,162.278,260.4,43.37269
tirsqx,-12.835348,45.387699,38.373047,16.1274,3.01216,4.97196,-69.42,76.7111,221.481,147.1834
tirtuh,-12.70556,44.943151,29.730469,40.8113,6.28365,13.5786,-6.50099,108.613,185.1,121.1954
tisetr,-12.801235,45.289843,37.912109,11.4606,2.63038,3.32093,-16.0599,152.65,263.583,92.92432
tisqeg,-12.880762,45.508613,40.447266,10.0691,3.98828,6.99176,-38.9715,144.125,285.078,178.3173
tistsx,-12.841255,45.563396,12.560547,43.0253,15.8668,19.5313,-49.426,88.6919,273.555,290.5428
titbjq,-12.814135,45.380538,31.574219,11.5641,3.099,6.19382,-61.7503,102.181,247.332,164.4364
titeoq,-12.769473,45.307912,28.866211,13.3401,3.79819,5.34368,-54.1213,99.7414,245.574,32.56256
titfjf,-12.775615,45.212149,40.447266,30.4961,8.04439,14.5679,-42.4552,108.904,91.2062,121.1283
titgdn,-12.868419,45.313459,34.62793,8.16235,2.27983,3.03776,-14.2494,152.806,270.211,66.208
titkrr,-12.820566,45.421569,21.260742,10.8049,2.63564,4.08555,-67.5857,81.8027,193.767,75.85325
titlnt,-12.798728,45.465526,20.626953,20.7041,5.74228,7.44015,-51.0246,86.3344,268.27,125.9668
titseo,-12.772189,45.257512,38.430664,14.4858,2.74752,10.5364,-37.5065,122.056,278.824,72.70918
titwck,-12.838195,45.399216,36.068359,15.5692,5.02396,8.50038,-25.971,145.836,272.113,88.58229
titxze,-12.824147,45.451086,49.666016,13.9141,4.16114,4.84522,-31.5469,86.9981,154.397,147.6201
titywv,-12.884051,45.356639,33.360352,9.7914,2.41453,3.64261,-18.6398,150.492,269.431,82.08115
tiunjf,-12.804207,45.361837,33.072266,5.93966,3.4578,4.00254,-30.6892,112.534,120.012,96.43115
tiurbc,-12.841623,45.342321,41.541992,9.92492,3.25153,4.66417,-70.7405,61.9704,259.98,77.90055
tiuvse,-12.766755,45.36263,38.084961,18.7049,3.26736,5.08755,-26.064,101.244,101.204,69.00618
tiuwhg,-12.817588,45.338049,25.063477,7.03663,2.63694,4.45886,-49.5929,97.4975,268.64,32.66097
tiuzox,-12.778109,45.388525,6.625977,32.2321,7.98804,14.1908,-41.7805,61.6202,96.4998,57.56095
tivahm,-12.78761,45.626813,51.279297,14.9155,3.63831,7.86697,-35.4191,163.791,291.406,382.377
tivgil,-12.832571,45.416508,21.779297,19.694,4.43402,10.3907,-47.875,100.867,268.3,115.8596
tivhpk,-12.843672,45.307031,43.904297,42.8204,12.7496,18.6954,15.374,162.861,239.871,183.3268
tivjqm,-12.772999,45.304304,42.521484,19.9173,3.48919,12.9678,-46.9273,126.908,86.9988,146.0312
tivnfj,-12.692181,45.19365,4.609375,28.1295,9.80785,24.7981,54.906,155.722,91.0951,57.15272
tivqov,-12.813373,45.351018,30.825195,8.05176,2.50169,3.50239,-20.5292,150.989,283.415,80.4427
tivqur,-12.741242,45.325249,34.62793,4.98993,1.95417,2.35358,-13.1945,144.733,147.876,29.40151
tivsoy,-12.790566,45.258908,40.043945,16.1542,2.63195,10.3901,-36.8515,129.564,280.154,44.57036
tivumm,-12.742678,45.336763,31.286133,10.7378,2.54295,8.32189,-45.2801,140.643,269.135,57.31627
tiwgyl,-12.764808,45.465578,16.939453,40.0824,6.39223,13.7607,-31.9885,66.9013,155.979,261.6021
tiwnyw,-12.830448,45.414351,21.606445,20.6595,3.76304,10.8269,27.6911,166.406,303.545,50.43096
tiwpgz,-12.769382,45.266157,24.833008,24.5979,3.97332,10.1886,-15.3048,75.7961,169.978,43.1047
tixayg,-12.700549,45.150445,45.402344,25.2191,5.4506,8.67348,-31.4933,111.538,251.039,134.1734
tixbxa,-12.796542,45.42305,21.72168,15.8921,4.34752,5.95618,-49.6075,92.9544,265.739,66.00054
tixdev,-12.881112,45.300467,29.442383,24.5167,5.80988,10.9464,-49.48,103.248,267.879,19.93286
tixdtz,-12.836022,45.369696,30.133789,6.48642,2.6663,4.37541,-53.31,142.383,249.041,64.21683
tixech,-12.821851,45.349561,30.018555,20.9812,4.8732,9.68523,-10.0533,157.235,322.931,57.82352
tixmzo,-12.803331,45.279038,41.541992,11.3831,2.45301,2.91254,-18.7349,152.52,268.196,48.14693
tixvsq,-12.845772,45.297664,39.006836,10.6335,3.20069,6.94635,-5.20249,27.9392,100.134,44.92003
tixwit,-12.862723,45.293306,37.047852,4.02617,2.06292,2.39688,-11.3194,166.43,254.824,23.57789
tiycvp,-12.818471,45.436694,18.552734,21.1488,4.33796,10.4778,-51.3546,105.879,263.622,108.807
tiyism,-12.750478,45.350424,35.376953,9.48775,2.56269,7.508,-38.8778,137.944,106.651,108.4704
tiyqlt,-12.877831,45.436596,4.033203,39.0566,10.4656,22.705,-31.0413,97.039,224.012,169.294
tiywba,-12.844546,45.394163,8.469727,21.5008,4.24121,9.48529,-60.9717,117.859,254.618,54.61038
tiyysj,-12.882456,45.268774,33.59082,12.1948,2.09489,3.92315,-7.16018,144.145,262.255,25.77677
tiyzak,-12.736013,45.200733,45.056641,30.3195,6.21024,12.5165,-40.3968,114.773,94.0752,142.4726
tizdsx,-12.782901,45.308603,39.640625,27.8525,9.05767,12.0688,-28.2727,107.681,250.245,529.6114
tizefl,-12.899595,45.355168,23.450195,10.411,2.61625,8.61014,12.6458,19.3776,64.5452,40.46188
tizhlq,-12.881133,45.31055,35.549805,7.69695,2.84407,3.32152,-4.20934,152.226,279.0,89.16042
tizomu,-12.78065,45.248853,40.735352,17.4426,6.4196,9.61638,-30.2256,120.729,263.179,72.26829
tizpek,-12.746148,45.305803,19.128906,52.9181,23.6259,33.423,-0.657447,88.6856,91.8807,771.025
tizrtr,-12.77659,45.332374,32.323242,19.1155,2.6501,3.13747,-22.1854,169.216,247.753,41.08348
tizsmk,-12.886208,45.376081,29.845703,8.53648,2.34677,3.07167,-24.058,155.722,272.47,77.68994
tizurp,-12.707129,45.237514,22.758789,18.5432,5.30794,6.24148,27.1879,144.304,181.575,14.00134
tizvtz,-12.817611,45.34957,36.932617,4.94324,3.21432,3.26314,-17.7545,27.5835,352.091,56.05875
tizxek,-12.928484,45.312609,35.607422,12.0852,2.45077,3.39787,-18.0066,157.196,260.179,72.64227
tjadda,-12.772156,45.243114,30.018555,14.8852,4.37921,5.23814,-36.415,101.249,154.148,65.33483
tjagqu,-12.824713,45.368277,38.661133,13.7572,2.69975,3.53234,-4.7698,135.325,290.495,71.08295
tjandp,-12.760956,45.290653,39.813477,14.0557,2.41581,3.84125,-13.6478,152.891,278.982,79.01596
tjatxu,-12.896659,45.300433,36.125977,9.96439,2.15011,3.01729,-13.0483,155.827,269.369,59.88828
tjbnfy,-12.960808,45.230408,51.394531,41.4185,15.64,24.924,1.34196,167.211,341.59,638.8899
tjbupq,-12.812027,45.387023,25.293945,11.2009,2.95005,3.81936,-45.2682,93.5982,269.65,39.06794
tjbvdy,-12.787474,45.502981,47.361328,15.8327,3.3024,5.64294,-27.3243,150.905,287.704,441.9638
tjbwjx,-12.755533,45.410163,22.874023,26.0446,8.62462,15.0158,13.1352,173.573,340.041,40.60502
tjcjue,-12.850109,45.345184,34.62793,6.33824,2.16162,2.93288,-10.3133,157.532,287.355,47.35896
tjcnjh,-12.818341,45.361809,30.767578,15.9137,4.10645,9.50178,-41.1868,118.516,237.722,167.4132
tjdhqw,-12.829674,45.376189,24.083984,107.791,19.5322,25.0536,0.821667,102.219,165.878,420.1202
tjdiru,-12.914667,45.497042,43.443359,15.7771,2.9962,5.83597,-20.2134,153.952,286.33,353.5416
tjeczs,-12.814835,45.376937,17.227539,14.6097,5.88966,8.69767,-40.3663,146.292,256.143,61.57804
tjeenf,-12.872598,45.284641,40.850586,5.4241,2.96513,4.35429,24.3428,126.147,4.62309,65.96391
tjefdj,-12.766427,45.211452,39.352539,14.2053,2.42831,5.63806,-0.732338,128.61,341.962,31.62816
tjefys,-12.722233,45.361997,46.208984,31.0615,8.59495,23.9937,5.25688,112.146,317.956,325.6974
tjeklu,-12.747464,45.26117,39.986328,13.8241,6.31025,7.32706,-36.1948,125.065,207.86,182.1345
tjeomj,-12.776561,45.317975,29.788086,13.811,4.38589,4.80293,-29.5352,125.731,260.289,80.34306
tjeugd,-12.826158,45.385556,29.90332,3.82627,2.37989,3.01972,-6.75424,133.208,175.592,29.22697
tjeupn,-12.796391,45.339533,32.668945,5.15293,1.83207,2.23944,-20.927,140.006,255.003,32.51635
tjexlj,-12.832469,45.358901,37.912109,37.7355,12.9315,33.8447,-20.14,49.0231,89.8172,216.6062
tjeyhy,-12.866405,45.367477,33.302734,46.0652,11.8248,16.7507,0.49886,109.02,168.029,89.15845
tjfcsv,-12.826793,45.347391,35.607422,11.0996,3.97624,4.50012,-43.3661,86.4838,97.7187,95.73875
tjfqah,-12.835295,45.358896,25.697266,77.1113,26.5479,31.1172,-11.2717,89.2857,272.304,269.3839
tjhoza,-12.878387,45.350889,34.051758,10.3577,2.49464,2.99408,-24.6775,162.73,228.837,55.53724
tjizqb,-12.745336,45.257576,42.694336,15.6416,2.93038,5.88318,-18.256,145.2,286.059,56.97334
tjjhuf,-12.903146,45.364525,31.458984,22.6789,2.81267,4.48022,-17.1048,134.25,259.821,129.0918
tjjmlw,-12.844546,45.394163,32.208008,16.5108,2.33429,3.99673,-20.8464,124.051,165.771,41.13843
tjjzlp,-12.948431,45.396135,35.607422,37.8704,9.79181,11.8607,-16.6178,159.095,214.609,187.9598
tjkijm,-12.752409,45.260438,39.928711,10.6232,2.512,3.31003,-20.5599,133.35,222.304,67.79075
tjlqdl,-12.754977,45.510225,38.257812,45.3575,16.0591,28.7778,-31.2931,109.991,270.099,2151.155
tjmnna,-12.758507,45.154602,40.447266,26.2956,4.91617,8.11953,-28.0392,110.566,144.375,96.86908
tjmoma,-12.753926,45.307945,38.661133,7.15549,2.28323,3.10463,-5.97031,143.203,279.239,68.89665
tjooid,-12.764671,45.382071,6.107422,37.3276,4.79715,17.194,-26.1723,64.3557,154.953,96.97891
tjoplv,-12.857841,45.324284,41.599609,30.43,10.7895,16.8467,-31.5893,60.5167,136.163,108.5366
tjoxuj,-12.843863,45.407847,14.634766,40.435,7.92779,11.8196,-28.1832,108.1,168.875,83.53032
tjqyir,-13.055731,45.335399,6.107422,34.0808,9.30068,14.6338,-42.0268,176.859,65.5714,125.7524
tjrioj,-12.88964,45.323497,37.854492,7.56216,2.61786,3.28905,7.64095,27.3422,82.9268,95.73269
tjrozt,-12.835306,45.364656,30.306641,61.6246,20.544,27.5508,-5.28696,162.134,216.97,177.319
tjrrqu,-12.752464,45.284913,27.598633,15.3281,3.09957,7.79453,29.9902,143.227,230.096,16.60619
tjruqe,-12.84312,45.386965,38.430664,8.67797,3.1816,4.32411,-19.683,17.8485,87.7109,57.88416
tjsstp,-12.849466,45.379032,40.677734,12.5414,2.58949,4.72961,-7.55571,153.175,278.971,154.0523
tjtkfu,-12.827573,45.386994,26.907227,10.962,2.37424,3.05594,-19.267,143.809,158.466,38.34176
tjtqxu,-12.875849,45.167239,14.519531,90.9866,17.3247,26.7906,-0.00422586,106.933,167.967,848.5738
tjuese,-12.869284,45.396279,36.298828,7.94587,2.87931,6.22984,-23.3341,148.35,321.771,108.2294
tjvtsq,-12.813475,45.407181,6.049805,32.9897,8.97699,17.7447,-29.5391,117.443,191.808,56.56535
tjwddd,-12.846728,45.430886,20.626953,27.6203,10.5746,17.4534,-5.41969,154.241,207.957,377.8136
tjwnse,-12.962512,45.367291,30.076172,22.6146,3.41724,5.65199,-16.7427,164.764,255.943,86.86774
tjxuwp,-12.849423,45.355987,36.068359,13.3461,2.24044,3.77499,-17.4815,121.272,155.282,38.73661
tjyroe,-12.815611,45.416537,18.783203,16.2292,6.30425,7.77074,-49.2082,104.157,267.421,98.83747
tjyrxe,-12.872376,45.589287,39.294922,12.9767,5.63225,9.32322,-37.5864,87.5536,257.817,352.1804
tjzpqh,-12.80043,45.245925,23.104492,62.048,16.2943,20.8342,4.15626,73.5355,35.4206,47.99894
tjzznl,-12.855043,45.338693,25.697266,26.2895,7.85636,14.6667,1.46441,168.584,12.1032,405.5954
tkawuo,-12.88691,45.373919,31.055664,8.16475,2.30734,2.83889,-23.7686,165.867,270.815,51.49587
tkbrvk,-12.876126,45.282473,42.636719,37.4605,14.6354,15.1364,-31.9858,81.57,95.6788,724.4807
tkcntw,-12.792884,45.353219,39.525391,11.03,3.27806,9.60864,-37.2169,22.8434,76.6211,102.9534
tkczwe,-12.752416,45.263318,40.504883,12.5955,2.59878,3.81392,-6.95706,126.817,351.499,91.66867
tkdjlk,-12.589457,45.405419,6.798828,39.1712,17.7167,22.3586,-12.6184,37.1374,344.628,64.9515
tkdkap,-12.7907,45.320825,1.094727,33.1169,17.6147,26.381,8.69254,138.471,271.026,4.102571
tkdrla,-12.925765,45.367362,28.923828,16.5662,5.79581,7.73508,-34.4124,163.144,247.507,83.52484
tkeaun,-12.826927,45.422278,17.861328,16.2689,3.68447,9.87025,-59.386,118.639,252.085,88.25864
tkegre,-12.93145,45.38464,26.388672,17.1919,6.89737,15.3589,-39.0734,8.89435,249.925,136.4959
tkeqkx,-12.815582,45.399257,22.701172,12.4681,4.26207,4.55017,-44.8466,84.0668,269.416,52.80122
tkerlp,-12.761686,45.30145,0.115234,27.5605,11.0134,17.9564,-27.5135,60.1891,164.17,191.8127
tkfakm,-12.812529,45.284057,42.060547,6.9842,2.40265,2.72258,-10.9401,140.085,286.226,65.91368
tkgaal,-12.916194,45.593564,19.589844,89.623,21.1133,30.0001,-1.81663,108.339,153.48,1503.707
tkgbjx,-12.775807,45.295659,38.373047,37.8887,7.75868,16.2888,23.6032,164.765,351.224,162.7291
tkgfrr,-12.835431,45.436666,16.017578,26.2737,7.1228,11.1691,-50.3407,120.104,104.076,409.7521
tkglck,-12.764701,45.399348,8.873047,37.9358,9.9838,14.5108,-26.5167,63.9648,139.525,296.6902
tkgrsr,-12.769548,45.345347,37.854492,4.7523,2.31004,2.66491,-10.866,128.505,259.405,43.22242
tkgtjg,-12.802055,45.345281,25.985352,8.03587,1.89662,2.71607,-36.2533,144.681,261.896,32.01495
tkgwhy,-12.891107,45.350863,30.594727,11.1183,2.63703,4.52005,-13.7659,160.561,279.063,42.23164
tkhahz,-12.758676,45.22083,37.681641,26.4845,4.36662,9.56102,-14.3552,107.009,192.844,456.5697
tkhcko,-12.944173,45.386057,38.027344,40.4947,20.275,31.8726,-23.3533,50.609,90.6489,3409.763
tkhdna,-12.792948,45.387778,6.568359,35.5932,19.3161,19.6892,-35.2783,91.5011,139.241,39.96407
tkheiw,-12.727205,45.375663,53.87207,21.3265,4.52486,17.3877,-18.1136,156.629,284.42,79.16132
tkhwnk,-12.830973,45.317139,45.402344,35.0547,10.0235,13.3194,-28.2577,68.3305,163.414,821.0417
tkispn,-12.804745,45.279035,22.297852,6.21453,1.57726,4.33885,42.6756,73.0624,85.813,8.996797
tkiwoa,-12.865553,45.29474,37.047852,8.88032,2.32446,3.12071,-7.99809,154.013,267.391,64.88674
tkjkww,-12.816241,45.372614,22.758789,11.9634,4.20437,4.50342,-39.1395,89.2768,99.0856,48.9073
tkjswh,-12.807657,45.319349,34.512695,6.91664,2.28905,2.7168,-18.3934,139.056,269.976,53.52265
tkjwii,-12.798586,45.379128,40.216797,17.6957,3.05385,4.57808,-66.9264,86.7699,194.446,128.6927
tkkbtc,-12.891701,45.295402,24.775391,20.5751,10.1358,14.6486,-20.0814,37.1073,92.1138,119.649
tkkhtm,-12.734842,45.305827,35.722656,32.9735,13.8128,22.4796,2.84553,15.3897,65.1832,1443.533
tkklqv,-12.832604,45.43667,18.091797,18.8117,7.06497,7.2479,-49.1292,92.2657,274.501,76.84491
tkkwqw,-12.770172,45.304311,33.763672,19.7054,5.08738,6.83998,-52.612,124.28,116.988,120.3777
tklczc,-12.766693,45.330954,40.620117,18.7327,2.95577,12.1622,-33.2286,154.717,304.567,74.37543
tklkqe,-12.807731,45.35679,31.170898,8.15438,2.62729,4.51923,-52.1419,87.9392,200.751,68.70153
tklwix,-12.908042,45.337864,30.479492,12.1666,3.1528,4.17502,-28.7188,162.265,152.708,35.87784
tkmdmg,-12.746924,45.339634,32.899414,19.7749,6.19561,7.61153,-46.5177,122.596,94.5707,73.77923
tkmdvi,-12.793544,45.329459,43.500977,9.43764,2.39893,3.10657,-15.851,148.428,281.873,73.17838
tkmfzb,-12.821235,45.399246,39.986328,23.11,4.0282,7.93745,-74.8358,57.0643,259.957,206.7982
tkmgod,-12.800548,45.299204,24.487305,4.56812,1.59712,1.75239,-32.1901,161.24,240.101,11.42328
tkmmar,-12.781781,45.474191,20.166016,22.5001,5.8716,8.20122,-48.3029,95.2149,266.306,100.2954
tknaou,-12.910937,45.373874,38.891602,11.1223,2.6312,5.35983,-15.5522,163.497,285.154,78.22863
tknerv,-12.814744,45.329415,39.006836,4.50877,3.24633,3.39509,-44.3967,15.3609,90.336,76.49284
tknjyx,-12.834537,45.332254,39.237305,3.72387,2.43784,2.8357,-26.8197,85.4213,94.0823,32.59239
tknzqs,-12.830387,45.379788,16.881836,8.90172,2.73046,3.82634,-68.9422,92.6453,266.713,44.16232
tkoctk,-12.787825,45.297792,33.706055,16.2535,2.60682,3.00661,-57.1257,122.238,183.178,33.63621
tkohqg,-12.965243,45.318294,42.291016,24.2222,9.83352,11.6659,-41.2185,54.4319,90.1483,112.257
tkojgg,-12.696597,45.267047,45.978516,16.5619,3.16427,4.2885,-6.21246,160.347,287.851,102.6026
tkokiw,-12.790649,45.296346,33.59082,5.46394,2.38232,3.08366,-7.62094,166.143,334.892,32.58263
tkomst,-12.83259,45.428029,18.322266,31.5057,9.53276,13.8007,-32.6457,91.1007,85.3735,98.01987
tkphmc,-12.817465,45.279006,20.454102,23.684,5.15326,7.23153,8.80352,102.78,332.429,29.17569
tkpnso,-12.752123,45.490073,43.097656,39.8184,10.2651,14.8918,-37.2918,109.425,228.29,1749.572
tkpueb,-12.787963,45.366908,31.286133,8.51203,4.80985,5.75274,-56.7725,62.6773,260.674,79.00813
tkpycv,-12.86354,45.347317,43.443359,13.7285,6.91658,10.3732,-24.6193,56.4727,92.4631,182.9503
