Name,bias_lat,bias_long,bias_depth,semiMajorAxisLength,semiMinorAxisLength,semiIntermediateAxisLength,majorAxisPlunge,majorAxisAzimuth,majorAxisRotation,scatter_volume,ref_lat,ref_long,ref_depth,majorAxisPlungeSin,majorAxisPlungeCos,majorAxisAzimuthSin,majorAxisAzimuthCos,majorAxisRotationSin,majorAxisRotationCos
thjgwj,-12.466565,45.447341,56.234375,69.3531,24.5664,35.8485,-5.03556,98.135,257.331,5339.725,-12.815555,45.666031,35.866699,-0.08777400328500679,0.9961404139715061,0.9899374013405045,-0.14150597664836986,-0.9756533493958958,-0.21931835721747092
thjjgv,-12.78124,45.200615,38.373047,16.7125,2.41588,6.22206,-8.3623,143.492,255.745,92.17789,-12.841507,45.286152,37.508789,-0.14543206654635893,0.9893682398480635,0.5949350205442485,-0.8037737998529279,-0.9692094250890839,-0.24623787344453607
thjsbj,-12.793561,45.338098,36.817383,8.22553,3.01962,4.50887,-20.0984,164.35,219.337,49.78139,-12.755381,45.328099,36.702148,-0.3436334699929261,0.9391038485176284,0.26976023601264193,-0.9629275232676672,-0.6338804647293109,-0.7734310288801147
thkbfx,-12.826438,45.188977,33.072266,28.5399,8.52502,19.6166,-25.6082,81.9924,146.618,347.6437,-12.733089,45.312669,33.101074,-0.43221481194092515,0.9017706783539099,0.9902495994106897,0.13930445386623014,0.5502184377327651,-0.8350207606873707
thkcjv,-12.882189,45.518695,45.863281,68.2545,24.0717,31.8385,-1.48968,137.539,268.958,1032.879,-12.772391,45.59911,39.842285,-0.02599689162735106,0.9996620236988678,0.6750882023820672,-0.7377370256429787,-0.9998346332438064,-0.018185328323217384
thmbyp,-12.826712,45.307067,23.853516,28.0928,10.463,17.9839,-5.2867,98.3652,219.305,204.5078,-12.799288,45.376966,36.010742,-0.0921394485901236,0.9957461132304298,0.9893608776024111,-0.14548214278662128,-0.6334484005134493,-0.7737849338717786
thmcgw,-12.741039,45.233112,36.356445,9.04142,2.21052,3.52615,-20.9272,127.491,326.1,27.68843,-12.785095,45.345315,36.125977,-0.3571814535800903,0.9340350149852059,0.7934489545248957,-0.6086368018476619,-0.55774510897969,0.8300122850953676
thmfdo,-12.83518,45.301288,20.166016,69.4279,23.231,28.6662,-2.74818,91.0338,287.729,125.2272,-12.848422,45.388035,29.528809,-0.047946400085752204,0.9988499100059113,0.9998372256338627,-0.018042234805596417,-0.9525074742717083,0.3045152072664531
thmlgf,-12.756362,45.14525,41.657227,8.54461,2.57741,2.98087,-9.81353,134.475,253.326,41.62062,-12.826411,45.332631,39.842285,-0.17044219164259689,0.9853676772190512,0.7135562106085627,-0.7005979833698842,-0.9579527962902803,-0.28692584421699074
thnkgv,-12.843947,45.459695,19.474609,21.8518,7.75155,9.13073,-35.2394,92.5157,144.885,83.56141,-12.792282,45.411538,38.776367,-0.5769940974713457,0.8167483158741298,0.9990362316349084,-0.04389314161371501,0.5752194234308626,-0.8179991533662281
thnrtp,-12.846552,45.332949,31.919922,53.6175,18.861,32.136,4.06745,136.925,279.343,302.6845,-12.839199,45.367889,30.277832,0.07093078205716798,0.9974812400024166,0.6829551152530453,-0.7304603415310783,-0.9867341561943097,0.16234440242738127
thortg,-12.853759,45.40927,14.980469,37.8763,5.69166,13.3477,-27.9347,112.156,205.306,177.9969,-12.793454,45.28626,36.241211,-0.4684649627287365,0.8834820760465735,0.9261604726645871,-0.37712965790787206,-0.4274525363469762,-0.9040377918928705
thqznz,-12.804163,45.338797,36.068359,13.2228,2.97403,3.76898,-16.5818,173.536,146.246,72.95604,-12.85624,45.413946,34.541504,-0.2853839419040892,0.958413275003682,0.11257891185504328,-0.9936427872256379,0.5556282791951237,-0.8314308241571668
thrcuo,-12.866482,45.410688,34.685547,20.0725,3.19198,4.46154,-22.3707,133.807,262.237,125.8338,-12.801194,45.460842,31.54541,-0.38059753083331005,0.9247407850438887,0.72167566147103,-0.6922313483513668,-0.9908352751765618,-0.13507574714132445
thvskv,-12.749624,45.279161,39.467773,9.31412,3.13672,3.54697,1.16915,129.907,185.343,67.67784,-12.72037,45.313416,41.455566,0.020404100886896023,0.9997918146629314,0.7670867782336477,-0.641543353686345,-0.09311784436346883,-0.9956550944283371
thxbuq,-12.800533,45.292004,32.092773,23.1692,4.22065,8.6261,-20.6257,80.7296,81.336,56.89853,-12.762635,45.431747,38.545898,-0.35226148214288194,0.9359016231412893,0.9869390720657167,0.16109397266832162,0.9885887316578972,0.15063970140381377
thyixn,-12.781555,45.341723,28.232422,5.45143,1.49756,2.49752,-12.3207,139.322,217.305,26.27026,-12.759349,45.370203,27.224121,-0.21338336247221676,0.9769685463821497,0.6518072530790773,-0.7583846681160609,-0.6060578161149565,-0.7954205953619568
thzdln,-12.915164,45.366662,37.854492,4.7786,2.30969,2.98002,0.940382,10.1091,44.1767,49.68861,-12.795465,45.413332,40.533691,0.016412025261494177,0.9998653136432006,0.17552308755956544,0.9844753149437304,0.6968735051184756,0.7171940587204345
thzzaf,-12.875834,45.161478,19.589844,55.7759,27.8384,43.5714,-12.5541,69.2977,104.018,395.9596,-12.823134,45.643523,23.579834,-0.21736135858405992,0.9760912046496945,0.9354298406865238,0.35351239462455175,0.9702196763900763,-0.2422267110488343
tiaxgj,-12.934107,45.29819,7.029297,27.8345,6.45418,13.9236,-47.4523,94.9929,227.163,160.2943,-12.837389,45.34521,30.825195,-0.7367146376274736,0.6762037730635789,0.9962054906412305,-0.0870322952487472,-0.7332909474930696,-0.6799149846302229
tiblsx,-12.909563,45.395485,28.866211,18.036,2.84821,5.96716,-18.2694,149.629,316.145,64.76846,-12.810691,45.433107,31.74707,-0.3134853508332634,0.9495930364176781,0.5055971419233554,-0.8627696854195415,-0.6928356949517034,0.7210954859107012
tiboqh,-12.852277,45.370385,27.541016,56.7945,6.57597,16.559,-7.27594,100.537,183.373,104.3082,-12.803079,45.326919,34.368652,-0.1266480749284692,0.9919477128946429,0.9831370199854911,-0.1828704457643392,-0.05883595757191551,-0.9982676645552513
ticjby,-12.879112,45.36025,48.398438,77.8538,26.3397,37.6591,-7.56885,115.489,282.964,4689.272,-12.862881,45.372525,42.00293,-0.13171747652346766,0.9912872975975682,0.9026679199124517,-0.43033780494040685,-0.974511213358949,0.2243387952131086
ticpxd,-12.76875,45.299994,33.417969,28.5804,12.3344,20.5649,19.6585,95.2833,21.5135,100.922,-12.741382,45.40011,40.735352,0.3364132519840883,0.9417144598494229,0.9957515791421738,-0.09208035966408396,0.36672044102355744,0.930331187338943
tiewqe,-12.814727,45.320774,27.598633,6.09419,2.17328,2.32379,-22.3619,151.884,279.97,20.88336,-12.744591,45.417021,30.277832,-0.3804554963562487,0.9247992297208731,0.4712581991426875,-0.8819953002940498,-0.9848985399859493,0.1731325097534987
tigawm,-12.858007,45.413583,39.064453,31.3592,12.1927,17.6027,-68.3049,57.2235,264.725,157.6312,-12.878276,45.296152,19.071289,-0.9291641892979765,0.36966729545123955,0.8407887156958911,0.5413634043398704,-0.9957649076694133,-0.0919361118066503
tigplr,-12.729113,45.27129,19.589844,33.1665,18.2032,29.1738,-3.09772,138.842,266.289,2765.322,-12.734303,45.392925,35.088867,-0.05403907766604231,0.9985388215212283,0.6581377342612418,-0.7528975512919929,-0.9979032105675328,-0.06472389310764778
tigwgv,-12.803306,45.267518,39.583008,7.60886,3.09357,3.81823,-4.19194,148.45,250.456,77.75283,-12.812926,45.304577,40.187988,-0.07309790064771615,0.9973247700327595,0.5232424345789518,-0.8521838737361154,-0.9423848678955977,-0.3345306574312688
tihwcz,-12.920128,45.376017,28.001953,22.6938,4.01392,7.61644,-14.7992,144.454,211.488,191.842,-12.811926,45.333741,34.282227,-0.2554322585097576,0.9668269552058447,0.5813563823179446,-0.8136490378155632,-0.5223199767191459,-0.8527495774962958
tihyya,-12.844004,45.500022,13.251953,17.4572,7.92748,15.7487,-7.74813,61.3474,44.2813,136.101,-12.815296,45.439939,28.837402,-0.13481859066060192,0.9908702980775481,0.8775431457076261,0.4794976823943615,0.6981816628972853,0.7159206419666788
tijxpn,-12.860799,45.393414,16.017578,31.0749,3.92632,10.2141,-40.762,116.516,208.777,113.7547,-12.804824,45.316475,35.088867,-0.652918402184243,0.75742825408693,0.8948097247739689,-0.4464477085280358,-0.48140186324868794,-0.876499997752819
tikclc,-12.826617,45.006798,3.745117,17.0767,6.35971,7.95645,26.3435,89.1448,26.4513,16.04633,-12.787174,45.324432,41.830078,0.44375169189902325,0.8961497843199843,0.9998886084977516,0.014925501547015123,0.44543697987840075,0.8953132954205523
tikiny,-12.802069,45.352481,33.706055,7.522,2.27983,2.95512,-19.6156,151.088,269.6,99.75005,-12.818814,45.430573,30.911621,-0.335708052580277,0.9419660840140466,0.4834657295158601,-0.875363289374016,-0.9999756307053947,-0.006981260297961302
tikree,-12.921473,45.339997,25.121094,44.7774,17.3412,30.0242,0.666232,27.4649,90.3432,649.0585,-12.796759,45.347092,27.915527,0.011627679950116421,0.9999323962443549,0.46120513441396477,0.8872935387966018,0.9999820601833822,-0.0059899341731472055
tikxfz,-12.947601,45.330579,34.743164,17.4177,3.84754,7.69491,-18.701,168.89,256.873,89.10978,-12.852966,45.361021,42.118164,-0.3206295224748987,0.9472046818494504,0.19269323147188447,-0.9812590476244908,-0.9738690522271293,-0.22711025761561912
tilaqo,-12.945648,45.422075,48.744141,20.8188,3.62074,9.56062,-12.7163,142.443,277.98,143.4194,-12.789341,45.588294,37.134277,-0.22012372397566776,0.9754719607159829,0.6095503854237833,-0.7927473289956374,-0.9903165889868428,0.13882742372263704
tildhn,-12.883332,45.350158,33.302734,33.8567,8.71703,15.848,3.75316,138.658,1.74218,168.108,-12.729841,45.280646,38.084961,0.06545816344947564,0.997855314581138,0.6605521959599193,-0.7507801252114552,0.030402091836040104,0.9995377495682657
tilzdn,-12.832609,45.439551,16.017578,20.5083,5.26988,9.53868,-56.035,101.596,236.522,123.8918,-12.76366,45.410508,35.809082,-0.8293790093596665,0.558686368934824,0.9795892850992755,-0.20100953340249927,-0.8340976891785127,-0.5516167554625814
timdkv,-12.852244,45.353101,32.611328,19.0511,6.4936,11.5558,-45.6837,124.624,269.021,123.1835,-12.794768,45.419094,30.623535,-0.7154940135102335,0.6986188636381198,0.8228984384960831,-0.5681884897819632,-0.999854024639387,-0.017085941952964034
timgft,-12.746791,45.276288,38.661133,16.6601,6.55899,9.47647,-29.1738,125.697,267.563,76.8572,-12.795089,45.400014,32.208008,-0.4874604416002547,0.8731450726396415,0.8121140799249833,-0.5834986899621949,-0.9990955796557626,-0.042520850324468853
timjxu,-12.77867,45.312931,36.759766,11.8282,2.99293,4.14689,-17.1552,134.813,268.486,139.0516,-12.794031,45.401095,30.73877,-0.2949610204046589,0.955509286423655,0.7094108418426015,-0.7047951883179762,-0.9996508988982383,-0.026421209887970178
timmir,-12.889405,45.669938,5.876953,38.1045,9.33382,11.9922,-74.4996,4.58642,221.264,292.3906,-12.904289,45.754201,56.637695,-0.9636285875093198,0.2672451034814167,0.07996266982242221,0.9967978588635061,-0.6595295045363484,-0.7516786764609189
timnal,-12.876943,45.335047,32.092773,13.4674,2.19332,3.42578,-44.3175,175.869,264.852,51.58082,-12.806328,45.362553,34.62793,-0.6986338487564713,0.7154793815140448,0.07203710123980071,-0.9974019530986324,-0.9959662439775049,-0.08972870698578658
timuki,-12.845823,45.322149,36.702148,5.83522,2.16514,2.36573,-48.8911,140.435,205.123,50.88702,-12.819986,45.300962,39.266113,-0.7534612702848829,0.6574922921074365,0.6369531910929822,-0.7709024791479574,-0.424562907171685,-0.9053984414907765
timybs,-12.821837,45.342361,29.442383,5.16487,2.01052,2.11403,-18.9089,149.042,223.465,42.26142,-12.802105,45.371201,30.364258,-0.3240643737998943,0.9460350319272973,0.5144096001409495,-0.8575446129985473,-0.6879113413014482,-0.7257947275289636
tindum,-12.392289,45.096676,58.539062,102.713,27.4519,29.9191,-4.73509,139.007,211.718,4844.317,-12.834604,45.627132,17.544434,-0.08254886987426521,0.996587017817552,0.6559668189249864,-0.7547897273210825,-0.5257389153299803,-0.850645985653054
tinhly,-12.810613,45.387025,21.030273,20.5192,2.40752,6.52489,-38.7407,114.592,102.816,19.55827,-12.768409,45.306114,34.080566,-0.6257968765054709,0.7799860699756096,0.9092942239473688,-0.41615383489276214,0.9750874482725093,-0.22182080204842528
tinjtm,-12.889643,45.324937,32.78418,8.92327,2.44408,3.24986,-15.2881,154.396,259.034,57.84419,-12.844128,45.358518,36.500488,-0.26367271131244224,0.964612202550406,0.43214870753651385,-0.9018023589315569,-0.9817402389442353,-0.19022645251834894
tinltk,-12.824052,45.393481,7.029297,31.4143,12.6539,13.3524,-35.3023,117.058,267.577,136.3975,-12.777013,45.368729,30.623535,-0.5778903857805304,0.8161143927308412,0.8905464972633947,-0.45489222483122144,-0.999105939633896,-0.042276723953844714
tintrl,-12.889766,45.389759,30.594727,6.92824,2.56009,3.60313,-20.6485,156.043,270.372,64.31509,-12.843556,45.435572,31.718262,-0.35263388231974924,0.9357613718465307,0.4060509204230706,-0.9138504527676162,-0.9999789229855306,0.006492579202305504
tiobxh,-12.772898,45.25823,33.763672,17.8301,3.79561,6.79307,-17.1404,144.369,254.462,166.9419,-12.789635,45.318307,35.866699,-0.29471419417739686,0.9555854455517663,0.5825628147796157,-0.8127856832130173,-0.9634530020838297,-0.267877421175537
tiocrf,-12.759751,45.226947,3.658691,7.06031,2.27307,4.51509,-57.2884,73.4217,250.126,2.03386,-12.778,45.330931,37.624023,-0.8414013886203814,0.5404106801569468,0.9584307063284462,0.28532539523630873,-0.9404424895327068,-0.3399528259649046
tiodfy,-12.810389,45.274702,25.063477,3.3142,1.23523,1.99349,-21.5674,137.915,221.271,12.76651,-12.823806,45.459367,30.854004,-0.3675954713776281,0.9299857899036197,0.6702323471649311,-0.742151332824908,-0.6596213344887161,-0.751598094121669
tionik,-12.828898,45.339466,27.137695,3.21581,1.78711,2.1956,13.2909,162.06,24.697,16.15008,-12.782668,45.369438,26.820801,0.22989516918978822,0.9732153981432881,0.3080208810645513,-0.9513795966007562,0.4178195038513579,0.908530055750169
tiopul,-12.809053,45.310706,33.014648,7.01683,2.33015,2.55468,-19.9632,137.979,242.64,53.97225,-12.8194,45.361447,34.541504,-0.3414165259502513,0.9399121000434356,0.6694029382129999,-0.742899526390886,-0.8881364488135443,-0.4595798606214884
tipchf,-12.77594,45.361892,30.537109,19.6789,5.47044,6.78746,-25.7403,99.4849,145.863,192.799,-12.767557,45.416621,33.533203,-0.4342927657257513,0.9007717766661418,0.9863290647096781,-0.1647876697721395,0.5611736156589334,-0.8276981171225893
tiphwt,-12.844576,45.411446,6.280273,23.4085,4.53362,7.96718,-71.0216,116.271,113.673,23.82494,-12.788028,45.402906,34.166992,-0.9456412447094458,0.3252116792250398,0.8967105740233818,-0.44261738153246644,0.9158519050910828,-0.40151623621098337
tipqid,-12.826776,45.33875,32.841797,3.70553,2.22775,2.7541,-41.9996,111.024,105.231,25.9655,-12.798109,45.315409,29.644043,-0.6691254182129425,0.7431494968721669,0.9334302317830764,-0.35875897534889956,0.9648744952337133,-0.2627112644092123
tiqdqt,-12.753071,45.241,35.376953,12.1306,2.02549,3.40453,-22.9979,129.212,138.021,30.10965,-12.815806,45.330492,31.54541,-0.3906973899618405,0.9205191738779837,0.774812099801106,-0.6321915927958873,0.6688581846161996,-0.7433900247325906
tiqfpv,-12.81345,45.39278,37.854492,4.89403,2.35764,3.69771,-9.60857,173.609,276.937,58.84216,-12.791971,45.437098,35.693848,-0.1669162249281328,0.9859710816528754,0.1113128301320642,-0.9937854163993303,-0.9926795539489399,0.12077790845901319
tiqqom,-12.828851,45.316424,38.200195,3.02369,2.2011,2.79491,-12.9274,115.608,258.022,20.38629,-12.809405,45.310345,39.150879,-0.22371624097304413,0.9746543200155072,0.9017721870627247,-0.43221166416480505,-0.9782273609836111,-0.2075360937838038
tirbnd,-12.784488,45.399313,17.400391,20.7685,4.74593,10.0128,-50.9586,107.547,256.236,236.2713,-12.843165,45.412889,24.256836,-0.7766910329088162,0.6298817662061954,0.953469959502682,-0.3014880367874551,-0.9712839631971505,-0.237923228870231
tirfvx,-12.893779,45.27595,34.051758,15.0071,2.15409,4.40756,-8.01671,144.727,260.742,31.92754,-12.80094,45.317563,32.409668,-0.13946190129078828,0.9902274375558164,0.5774729644578496,-0.8164098084419755,-0.9869739130431606,-0.1608803747269119
tirivj,-12.850117,45.349505,38.200195,4.95049,2.05656,3.19495,-16.2765,133.462,248.124,43.89992,-12.806076,45.419794,39.32373,-0.28027301890495987,0.9599203273573802,0.7258307454876464,-0.6878733378354241,-0.9279924092524633,-0.37259909872382774
tirprb,-12.863428,45.292584,40.447266,31.474,6.13173,6.58341,26.7602,164.988,290.091,154.1036,-12.800444,45.432764,42.262207,0.450257405215924,0.8928988011237462,0.25902134245649056,-0.9658715981702938,-0.9391482224474684,0.34351217776632065
tirsqx,-12.835348,45.387699,38.373047,16.1274,3.01216,4.97196,-69.42,76.7111,221.481,147.1834,-12.81318,45.442823,32.352051,-0.9361822946126778,0.35151488055805175,0.9732234224056433,0.2298611974236776,-0.6623716486648483,-0.749175412733901
tirtuh,-12.70556,44.943151,29.730469,40.8113,6.28365,13.5786,-6.50099,108.613,185.1,121.1954,-12.841559,45.310636,40.735352,-0.11322038144024148,0.9935698995171534,0.947696016042832,-0.31917434291707125,-0.08889429686644118,-0.9960410654107696
tisetr,-12.801235,45.289843,37.912109,11.4606,2.63038,3.32093,-16.0599,152.65,263.583,92.92432,-12.871377,45.381151,37.508789,-0.27664215817810944,0.9609730049895043,0.45942484457008537,-0.8882166471034828,-0.9937348019202121,-0.11176378417267717
tisqeg,-12.880762,45.508613,40.447266,10.0691,3.98828,6.99176,-38.9715,144.125,285.078,178.3173,-12.769567,45.601273,36.327637,-0.6289337461706381,0.7774589011181023,0.586018853585894,-0.8102974165341233,-0.9655725862552473,0.2601337745706098
tistsx,-12.841255,45.563396,12.560547,43.0253,15.8668,19.5313,-49.426,88.6919,273.555,290.5428,-12.778748,45.595504,39.208496,-0.7595665411218886,0.6504296038835642,0.999739391986085,0.022828668627258283,-0.9980757361654035,0.06200665188419675
titbjq,-12.814135,45.380538,31.574219,11.5641,3.099,6.19382,-61.7503,102.181,247.332,164.4364,-12.801134,45.422683,31.372559,-0.8808932164892925,0.4733150548452356,0.9774859184994155,-0.21100066145714833,-0.9227534761555456,-0.38539073969525656
titeoq,-12.769473,45.307912,28.866211,13.3401,3.79819,5.34368,-54.1213,99.7414,245.574,32.56256,-12.803963,45.424118,26.187012,-0.8102595713982403,0.5860711790879499,0.9855814670312251,-0.16920157163743546,-0.9104961062041661,-0.4135176424132976
titfjf,-12.775615,45.212149,40.447266,30.4961,8.04439,14.5679,-42.4552,108.904,91.2062,121.1283,-12.827493,45.34379,40.274414,-0.675013518470623,0.737805360431808,0.9460627428202026,-0.32398346662679434,0.9997784114334692,-0.021050606441824955
titkrr,-12.820566,45.421569,21.260742,10.8049,2.63564,4.08555,-67.5857,81.8027,193.767,75.85325,-12.819141,45.414371,32.668945,-0.9244508964794398,0.38130111460414085,0.9897829510389625,0.14258229144112788,-0.23797408485345636,-0.971271504234609
titlnt,-12.798728,45.465526,20.626953,20.7041,5.74228,7.44015,-51.0246,86.3344,268.27,125.9668,-12.749934,45.443286,43.500977,-0.7774160891549365,0.6289866646623311,0.9979541831726031,0.06393315484396676,-0.9995441898935119,-0.030189608313507955
titwck,-12.838195,45.399216,36.068359,15.5692,5.02396,8.50038,-25.971,145.836,272.113,88.58229,-12.764373,45.414107,32.121582,-0.4379161701100779,0.899015810737565,0.5615635968843018,-0.8274335783942814,-0.999320053862071,0.0368704481815371
titxze,-12.824147,45.451086,49.666016,13.9141,4.16114,4.84522,-31.5469,86.9981,154.397,147.6201,-12.756793,45.550895,39.438965,-0.5231963262283811,0.8522121826289069,0.9986277986794614,0.05236907202360102,0.4321329680503293,-0.9018099012120088
titywv,-12.884051,45.356639,33.360352,9.7914,2.41453,3.64261,-18.6398,150.492,269.431,82.08115,-12.841725,45.397049,33.245117,-0.31961759112820115,0.947546619138819,0.49254507988350804,-0.8702869321566012,-0.9999506887850476,-0.009930760208011622
tiunjf,-12.804207,45.361837,33.072266,5.93966,3.4578,4.00254,-30.6892,112.534,120.012,96.43115,-12.797595,45.419089,30.277832,-0.5103808305078463,0.8599484913935956,0.9236522809380167,-0.38323160610523654,0.865920665036022,-0.5001813689688703
tiurbc,-12.841623,45.342321,41.541992,9.92492,3.25153,4.66417,-70.7405,61.9704,259.98,77.90055,-12.816497,45.322571,39.842285,-0.944034342636626,0.3298471766176473,0.8827049378375411,0.4699276462576155,-0.9847470783667127,-0.17399192983648198
tiuvse,-12.766755,45.36263,38.084961,18.7049,3.26736,5.08755,-26.064,101.244,101.204,69.00618,-12.806831,45.450033,32.755371,-0.4393748356855865,0.8983038204117045,0.9808057048361838,-0.19498761335222478,0.9809415928428773,-0.19430283433567985
tiuwhg,-12.817588,45.338049,25.063477,7.03663,2.63694,4.45886,-49.5929,97.4975,268.64,32.66097,-12.796105,45.375172,24.458496,-0.76145798772377,0.648214264677712,0.9914505557095589,-0.13048293215285622,-0.9997183030367047,-0.023734248954022482
tiuzox,-12.778109,45.388525,6.625977,32.2321,7.98804,14.1908,-41.7805,61.6202,96.4998,57.56095,-12.809928,45.399267,24.314453,-0.6662787169434282,0.7457028036344098,0.8798162026054028,0.4753140536876737,0.9935722508242951,-0.11319974554716966
tivahm,-12.78761,45.626813,51.279297,14.9155,3.63831,7.86697,-35.4191,163.791,291.406,382.377,-12.918058,45.726463,25.783691,-0.5795528694303435,0.8149346424929151,0.2791419451761048,-0.9602498500095173,-0.9310176009500087,0.36497428227382034
tivgil,-12.832571,45.416508,21.779297,19.694,4.43402,10.3907,-47.875,100.867,268.3,115.8596,-12.818961,45.317885,39.928711,-0.7416832415566892,0.6707503031635259,0.9820674609753078,-0.18852984403937825,-0.999559860119384,-0.02966624408511087
tivjqm,-12.772999,45.304304,42.521484,19.9173,3.48919,12.9678,-46.9273,126.908,86.9988,146.0312,-12.853016,45.388387,40.735352,-0.7304877565179598,0.682925792145353,0.7996008162136109,-0.6005318765149167,0.9986284384138456,0.052356871479530595
tivnfj,-12.692181,45.19365,4.609375,28.1295,9.80785,24.7981,54.906,155.722,91.0951,57.15272,-12.748693,45.34071,31.891113,0.8182099273480921,0.5749195724525562,0.41116437454213683,-0.9115612196157609,0.9998173502524155,-0.019111936956750744
tivqov,-12.813373,45.351018,30.825195,8.05176,2.50169,3.50239,-20.5292,150.989,283.415,80.4427,-12.834303,45.395982,29.183105,-0.3506846977597544,0.9364935892771236,0.4849775262400939,-0.8745266142559865,-0.9727151734143276,0.23200256767875366
tivqur,-12.741242,45.325249,34.62793,4.98993,1.95417,2.35358,-13.1945,144.733,147.876,29.40151,-12.748085,45.393979,33.907715,-0.2282574121931025,0.9736008184974518,0.5773874670564385,-0.8164702767928238,0.5317533744888614,-0.8468992553543242
tivsoy,-12.790566,45.258908,40.043945,16.1542,2.63195,10.3901,-36.8515,129.564,280.154,44.57036,-12.843008,45.327915,40.15918,-0.5997430894772736,0.8001926184514919,0.7709135959609076,-0.6369397362094962,-0.9843374635038639,0.17629452045591054
tiwgyl,-12.764808,45.465578,16.939453,40.0824,6.39223,13.7607,-31.9885,66.9013,155.979,261.6021,-12.840367,45.430177,37.739258,-0.529749039398104,0.848154440686828,0.9198303989317745,0.3923162464148183,0.4070714476467121,-0.9133963195189754
tiwnyw,-12.830448,45.414351,21.606445,20.6595,3.76304,10.8269,27.6911,166.406,303.545,50.43096,-12.790161,45.410822,35.837891,0.4647045081150292,0.8854658209877831,0.23504032829549854,-0.9719856192736311,-0.8334520746258232,0.5525917474066286
tiwpgz,-12.769382,45.266157,24.833008,24.5979,3.97332,10.1886,-15.3048,75.7961,169.978,43.1047,-12.789852,45.437821,26.129395,-0.2639538556126248,0.9645353088960661,0.9694286501052237,0.24537337336223683,0.17402630388810666,-0.9847410043026767
tixayg,-12.700549,45.150445,45.402344,25.2191,5.4506,8.67348,-31.4933,111.538,251.039,134.1734,-12.75374,45.394689,34.599121,-0.522398855909823,0.8527012579702858,0.9301742905510824,-0.36711822237229047,-0.9457399637550776,-0.32492448500620025
tixbxa,-12.796542,45.42305,21.72168,15.8921,4.34752,5.95618,-49.6075,92.9544,265.739,66.00054,-12.761123,45.374159,33.129883,-0.7616231397087772,0.6480202103793866,0.998670871104352,-0.05154116032526403,-0.997235938912163,-0.07429994711960931
tixdev,-12.881112,45.300467,29.442383,24.5167,5.80988,10.9464,-49.48,103.248,267.879,19.93286,-12.829937,45.329023,9.478027,-0.7601792191427742,0.6497134405131867,0.9733872584703672,-0.22916641343692276,-0.9993148960352187,-0.03700997922344745
